time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,size_array,fopts_size
2020-05-01T00:01:23.371637216Z,-1,NmLJ89FzbESrlgfuyZBsrOxxNRM/BtBSa2k4RV5BEWLqmeqibkWgGQpAlW1Uvfj+D6SdEZqDkIvJMOyzJzMseTmgxhYgW8uA65SBCEAMetUlA+l03jC8uo8GnsNh2D5NkbL4qRTm6QDupydEnMudsfrz68e2XaJfKq5oKcWShfoc/i6CqChcubfbPvk5X/r3t5mZCUvfFVCmBQ6BTeiI3Y/k,00800000a0001793,-1,867100000,7.0,125.0,OFF,-110,-11.0,-1,1,-1,-1.0,162,3.0
2020-05-01T00:01:25.171694978Z,e6c9dc2d,my3cyeYP0gHCxzbKB6S3R0YEs6MoyrpwyqDLgD/9zPPjQToD6g==,00800000a0001793,-1,868300000,7.0,250.0,4/6,-104,-11.5,-1,100,466,112.0,37,15.0
2020-05-01T00:01:33.833142744Z,46ecdfbb,/7vf7Ea1058spl+Yhi1ot6YF3iW8JXTKOQ+IqihsAaDY6qobaGt+N/2B2cYy8rFP4uBPIBbPxD3KGg135VocB/12mKlDJWCceRXQFxEygs5QI/Yrm+NLxmzFv63MdneQYsOTUVcE3A==,00800000a0001793,-1,867900000,7.0,125.0,OFF,-111,-11.8,-1,111,40915,45.0,103,5.0
2020-05-01T00:00:09.140340Z,041021a5,QKUhEATA8QUB9URPyznaxCsUH3OfUIfzn9nzHM7jPbekgWP4dWEeACg2xDC1jkxu4/PtrVUL+a8z,7276ff002e062804,1,868500000,7.0,125.0,4/5,-100,-2.2,-1,10,1521,1.0,57,0.0
2020-05-01T00:00:37.752917Z,-1,,7276ff002e062804,-1,868300000,9.0,125.0,4/5,-103,-12.5,-1,-1,-1,-1.0,0,
2020-05-01T00:00:57.075390Z,-1,,7276ff002e062804,-1,868300000,7.0,125.0,4/5,-107,-12.0,-1,-1,-1,-1.0,0,
2020-05-01T00:01:22.595144Z,-1,,7276ff002e062804,-1,867900000,11.0,125.0,4/5,-97,-19.0,-1,-1,-1,-1.0,0,
2020-05-01T00:01:28.874400Z,-1,,7276ff002e062804,-1,868500000,12.0,125.0,4/5,-99,-19.5,-1,-1,-1,-1.0,0,
2020-05-01T00:02:22.984922Z,-1,,7276ff002e062804,-1,867500000,7.0,125.0,???,-89,-10.5,-1,-1,-1,-1.0,0,
2020-05-01T00:02:26.087499Z,-1,DmAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=,7276ff002e062804,1,868500000,8.0,125.0,4/5,-101,-6.0,-1,0,-1,-1.0,35,0.0
2020-05-01T00:02:53.190661Z,-1,,7276ff002e062804,-1,868100000,7.0,125.0,4/5,-109,-8.5,-1,-1,-1,-1.0,0,
2020-05-01T00:03:07.064859Z,a869205d,gF0gaaiAJxsFxWpi7PvbgXnk6pWY,0000024b0b031c97,1,867300000,12.0,125.0,4/5,-105,-9.0,-1,100,6951,5.0,21,0.0
2020-05-01T00:03:07.881202Z,20000002,QAIAACCAepsKpa4DhfsWtC9q1D6eCazHPjA=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-107,-4.0,-1,10,39802,10.0,26,0.0
2020-05-01T00:03:10.509754Z,26012682,QIImASYAKdQBl4dEE5o3ueg5Zw==,0000024b0b031c97,1,867700000,7.0,125.0,4/5,-81,11.0,-1,10,54313,1.0,19,0.0
2020-05-01T00:03:10.751385Z,20000017,QBcAACCAqZoKr1QEeP6O+mPlPakCv7p8VLo=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,-6.8,-1,10,39593,10.0,26,0.0
2020-05-01T00:03:11.752431Z,-1,AGNjbm9icmFjiBkE/v9YF6iRXq53908=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-101,5.5,-1,0,-1,-1.0,23,2.0
2020-05-01T00:03:18.930207Z,-1,AGNjbm9icmFjiBkE/v9YF6iEDfZC3mU=,0000024b0b031c97,1,868300000,9.0,125.0,4/5,-101,-1.8,-1,0,-1,-1.0,23,2.0
2020-05-01T00:03:26.789195Z,26011498,QJgUASYAZBgBj11nKnwJ1FMKgceQ,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-96,-5.0,-1,10,6244,1.0,21,0.0
2020-05-01T00:03:27.393356Z,00fb2d66,QGYt+wCACsgFYI/tNpRTrcUGJ5FAOnhj9eg=,0000024b0b031c97,1,867900000,10.0,125.0,4/5,-107,-12.5,-1,10,51210,5.0,26,0.0
